"workerId";"60-ideaSubmitTimers";"60-inspirationRequestTimers";"120-ideaSubmitTimers";"120-inspirationRequestTimers";"180-ideaSubmitTimers";"180-inspirationRequestTimers";"240-ideaSubmitTimers";"240-inspirationRequestTimers";"300-ideaSubmitTimers";"300-inspirationRequestTimers";"360-ideaSubmitTimers";"360-inspirationRequestTimers";"420-ideaSubmitTimers";"420-inspirationRequestTimers";"480-ideaSubmitTimers";"480-inspirationRequestTimers";"540-ideaSubmitTimers";"540-inspirationRequestTimers";"600-ideaSubmitTimers";"600-inspirationRequestTimers"
"http://purl.org/innovonto/brainstormingSession/103";0;1;1;2;1;3;1;3;2;3;2;3;3;4;4;6;5;9;6;10
"http://purl.org/innovonto/brainstormingSession/106";0;0;0;1;0;3;0;3;2;3;4;3;5;4;5;4;7;5;8;5
"http://purl.org/innovonto/brainstormingSession/107";0;0;2;0;4;0;5;2;6;3;6;3;7;4;8;4;9;5;10;5
"http://purl.org/innovonto/brainstormingSession/108";0;0;0;3;0;4;1;5;3;6;4;8;5;8;5;8;6;8;6;8
"http://purl.org/innovonto/brainstormingSession/11";0;0;1;1;1;1;1;1;1;1;2;1;2;1;3;1;4;1;4;1
"http://purl.org/innovonto/brainstormingSession/110";0;0;0;0;0;0;1;1;2;1;3;2;3;2;4;2;5;5;6;5
"http://purl.org/innovonto/brainstormingSession/13";1;1;2;1;4;1;5;2;6;3;7;4;8;4;9;4;10;4;12;4
"http://purl.org/innovonto/brainstormingSession/15";0;0;1;0;1;0;3;1;3;1;4;3;6;3;6;3;8;5;8;6
"http://purl.org/innovonto/brainstormingSession/19";0;4;0;8;1;13;3;13;4;22;4;48;4;65;4;79;4;79;4;79
"http://purl.org/innovonto/brainstormingSession/22";0;0;0;1;1;1;2;1;4;1;4;1;5;1;6;1;8;1;9;1
"http://purl.org/innovonto/brainstormingSession/23";0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1
"http://purl.org/innovonto/brainstormingSession/28";0;1;1;1;3;1;5;1;6;2;7;2;7;2;7;2;8;2;8;2
"http://purl.org/innovonto/brainstormingSession/29";0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1
"http://purl.org/innovonto/brainstormingSession/3";1;1;2;1;3;1;5;2;6;4;6;5;7;6;8;9;9;10;10;10
"http://purl.org/innovonto/brainstormingSession/32";1;0;3;1;6;1;7;1;8;1;9;1;11;2;12;2;14;3;15;3
"http://purl.org/innovonto/brainstormingSession/34";0;2;1;2;2;2;3;2;3;2;3;3;4;3;4;4;4;4;4;4
"http://purl.org/innovonto/brainstormingSession/36";0;0;1;0;2;0;3;0;4;0;5;0;5;0;5;0;5;0;6;0
"http://purl.org/innovonto/brainstormingSession/38";0;1;1;1;1;2;2;2;2;2;3;2;3;2;4;2;4;2;4;2
"http://purl.org/innovonto/brainstormingSession/39";0;0;0;0;1;0;2;1;3;1;4;1;4;5;4;5;5;8;6;10
"http://purl.org/innovonto/brainstormingSession/40";0;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1
"http://purl.org/innovonto/brainstormingSession/42";0;1;1;1;3;1;4;2;5;6;6;6;6;9;7;12;8;12;9;15
